TEAM_NAME,VS_PLAYER_NAME,GP_ON,GP_OFF,GP_DIFF,W_ON,W_OFF,W_DIFF,L_ON,L_OFF,L_DIFF,W_PCT_ON,W_PCT_OFF,W_PCT_DIFF,MIN_ON,MIN_OFF,MIN_DIFF,OFF_RATING_ON,OFF_RATING_OFF,OFF_RATING_DIFF,DEF_RATING_ON,DEF_RATING_OFF,DEF_RATING_DIFF,NET_RATING_ON,NET_RATING_OFF,NET_RATING_DIFF,AST_PCT_ON,AST_PCT_OFF,AST_PCT_DIFF,AST_TO_ON,AST_TO_OFF,AST_TO_DIFF,AST_RATIO_ON,AST_RATIO_OFF,AST_RATIO_DIFF,OREB_PCT_ON,OREB_PCT_OFF,OREB_PCT_DIFF,DREB_PCT_ON,DREB_PCT_OFF,DREB_PCT_DIFF,REB_PCT_ON,REB_PCT_OFF,REB_PCT_DIFF,TM_TOV_PCT_ON,TM_TOV_PCT_OFF,TM_TOV_PCT_DIFF,EFG_PCT_ON,EFG_PCT_OFF,EFG_PCT_DIFF,TS_PCT_ON,TS_PCT_OFF,TS_PCT_DIFF,PACE_ON,PACE_OFF,PACE_DIFF,PIE_ON,PIE_OFF,PIE_DIFF
Atlanta Hawks,"Ilyasova, Ersan",30.0,41,-11.0,10.0,11,-1.0,20.0,30,-10.0,0.333,0.268,0.065,774.0,1199.0,-425.0,107.0,102.3,4.7,108.6,107.7,0.9,-1.6,-5.4,3.8,0.615,0.613,0.002,1.65,1.45,0.2,18.2,17.5,0.7,0.239,0.221,0.018,0.731,0.744,-0.013,0.479,0.481,-0.002,0.149,0.159,-0.01,0.524,0.512,0.012,0.56,0.548,0.012,99.28,100.0,-0.72,0.485,0.472,0.013
Atlanta Hawks,"Magette, Josh",8.0,41,-33.0,2.0,11,-9.0,6.0,30,-24.0,0.25,0.268,-0.018,64.0,1909.0,-1845.0,95.1,104.5,-9.4,92.2,108.6,-16.4,2.9,-4.1,7.0,0.644,0.613,0.031,1.81,1.52,0.29,17.2,17.8,-0.6,0.175,0.23,-0.055,0.804,0.737,0.067,0.487,0.48,0.007,0.124,0.156,-0.032,0.441,0.519,-0.078,0.499,0.554,-0.055,96.22,99.84,-3.62,0.542,0.476,0.066
Atlanta Hawks,"Muscala, Mike",13.0,41,-28.0,2.0,11,-9.0,11.0,30,-19.0,0.154,0.268,-0.114,242.0,1731.0,-1489.0,95.2,105.5,-10.3,103.6,108.7,-5.1,-8.4,-3.3,-5.1,0.589,0.617,-0.028,1.29,1.56,-0.27,15.4,18.1,-2.7,0.181,0.235,-0.054,0.757,0.736,0.021,0.468,0.482,-0.014,0.153,0.156,-0.003,0.457,0.525,-0.068,0.512,0.558,-0.046,103.92,99.13,4.79,0.454,0.48,-0.026
Atlanta Hawks,"Plumlee, Miles",22.0,41,-19.0,7.0,11,-4.0,15.0,30,-15.0,0.318,0.268,0.05,407.0,1566.0,-1159.0,105.5,103.8,1.7,104.5,109.0,-4.5,1.0,-5.2,6.2,0.633,0.609,0.024,1.42,1.56,-0.14,18.3,17.6,0.7,0.251,0.223,0.028,0.782,0.728,0.054,0.52,0.47,0.05,0.175,0.15,0.025,0.536,0.512,0.024,0.567,0.549,0.018,99.27,99.84,-0.57,0.507,0.469,0.038
Atlanta Hawks,"Prince, Taurean",41.0,41,0.0,11.0,11,0.0,30.0,30,0.0,0.268,0.268,0.0,1278.0,695.0,583.0,105.5,101.7,3.8,108.5,107.3,1.2,-3.0,-5.6,2.6,0.604,0.634,-0.03,1.53,1.53,0.0,18.1,17.1,1.0,0.232,0.222,0.01,0.739,0.739,0.0,0.486,0.469,0.017,0.159,0.149,0.01,0.53,0.49,0.04,0.561,0.536,0.025,100.45,98.39,2.06,0.482,0.468,0.014
Atlanta Hawks,"Schroder, Dennis",38.0,41,-3.0,11.0,11,0.0,27.0,30,-3.0,0.289,0.268,0.021,1215.0,758.0,457.0,105.9,101.3,4.6,111.6,102.4,9.2,-5.7,-1.1,-4.6,0.602,0.634,-0.032,1.58,1.45,0.13,17.9,17.5,0.4,0.227,0.23,-0.003,0.733,0.749,-0.016,0.475,0.489,-0.014,0.152,0.161,-0.009,0.527,0.499,0.028,0.56,0.54,0.02,99.66,99.82,-0.16,0.466,0.498,-0.032
Atlanta Hawks,"Taylor, Isaiah",33.0,41,-8.0,9.0,11,-2.0,24.0,30,-6.0,0.273,0.268,0.005,489.0,1484.0,-995.0,104.7,104.0,0.7,103.2,109.7,-6.5,1.5,-5.7,7.2,0.633,0.608,0.025,1.46,1.55,-0.09,17.6,17.8,-0.2,0.239,0.225,0.014,0.762,0.731,0.031,0.501,0.473,0.028,0.161,0.153,0.008,0.513,0.518,-0.005,0.556,0.552,0.004,100.13,99.59,0.54,0.51,0.467,0.043
Boston Celtics,"Allen, Kadeem",3.0,43,-40.0,1.0,33,-32.0,2.0,10,-8.0,0.333,0.767,-0.434,8.0,2061.0,-2053.0,93.0,104.9,-11.9,72.1,99.8,-27.7,20.9,5.1,15.8,0.5,0.584,-0.084,1.5,1.58,-0.08,13.5,17.1,-3.6,0.222,0.209,0.013,1.0,0.782,0.218,0.533,0.502,0.031,0.116,0.142,-0.026,0.433,0.518,-0.085,0.465,0.552,-0.087,98.96,97.71,1.25,0.684,0.53,0.154
Boston Celtics,"Baynes, Aron",43.0,43,0.0,33.0,33,0.0,10.0,10,0.0,0.767,0.767,0.0,795.0,1274.0,-479.0,103.3,105.8,-2.5,94.0,103.2,-9.2,9.3,2.6,6.7,0.565,0.595,-0.03,1.6,1.57,0.03,16.7,17.3,-0.6,0.231,0.196,0.035,0.824,0.758,0.066,0.532,0.484,0.048,0.138,0.145,-0.007,0.506,0.525,-0.019,0.535,0.563,-0.028,96.97,98.18,-1.21,0.548,0.52,0.028
Boston Celtics,"Bird, Jabari",4.0,43,-39.0,3.0,33,-30.0,1.0,10,-9.0,0.75,0.767,-0.017,22.0,2047.0,-2025.0,121.3,104.7,16.6,100.1,99.7,0.4,21.2,5.0,16.2,0.375,0.585,-0.21,0.75,1.59,-0.84,10.8,17.1,-6.3,0.353,0.208,0.145,0.682,0.784,-0.102,0.538,0.502,0.036,0.183,0.142,0.041,0.563,0.517,0.046,0.636,0.551,0.085,94.87,97.75,-2.88,0.63,0.53,0.1
Boston Celtics,"Brown, Jaylen",38.0,43,-5.0,29.0,33,-4.0,9.0,10,-1.0,0.763,0.767,-0.004,1191.0,878.0,313.0,106.7,102.3,4.4,98.9,100.7,-1.8,7.8,1.6,6.2,0.584,0.582,0.002,1.66,1.47,0.19,17.5,16.4,1.1,0.213,0.205,0.008,0.783,0.782,0.001,0.509,0.494,0.015,0.139,0.146,-0.007,0.529,0.502,0.027,0.561,0.539,0.022,98.37,96.82,1.55,0.549,0.504,0.045
Boston Celtics,"Hayward, Gordon",1.0,43,-42.0,0.0,33,-33.0,1.0,10,-9.0,0.0,0.767,-0.767,5.0,2064.0,-2059.0,100.0,104.9,-4.9,87.2,99.7,-12.5,12.8,5.2,7.6,0.667,0.583,0.084,4.0,1.58,2.42,23.5,17.0,6.5,0.2,0.209,-0.009,0.8,0.783,0.017,0.5,0.503,-0.003,0.083,0.142,-0.059,0.5,0.518,-0.018,0.5,0.552,-0.052,102.03,97.71,4.32,0.619,0.53,0.089
Boston Celtics,"Horford, Al",39.0,43,-4.0,29.0,33,-4.0,10.0,10,0.0,0.744,0.767,-0.023,1265.0,804.0,461.0,108.8,98.6,10.2,100.8,97.9,2.9,8.0,0.7,7.3,0.6,0.552,0.048,1.68,1.41,0.27,18.4,14.8,3.6,0.187,0.239,-0.052,0.787,0.777,0.01,0.507,0.495,0.012,0.145,0.138,0.007,0.555,0.461,0.094,0.584,0.503,0.081,97.17,98.58,-1.41,0.554,0.488,0.066
Boston Celtics,"Irving, Kyrie",41.0,43,-2.0,32.0,33,-1.0,9.0,10,-1.0,0.78,0.767,0.013,1335.0,734.0,601.0,108.1,98.7,9.4,101.3,96.7,4.6,6.8,2.0,4.8,0.575,0.6,-0.025,1.62,1.5,0.12,17.4,16.3,1.1,0.204,0.219,-0.015,0.775,0.798,-0.023,0.498,0.51,-0.012,0.142,0.143,-0.001,0.538,0.479,0.059,0.572,0.513,0.059,98.48,96.33,2.15,0.541,0.509,0.032
Boston Celtics,"Larkin, Shane",31.0,43,-12.0,25.0,33,-8.0,6.0,10,-4.0,0.806,0.767,0.039,344.0,1725.0,-1381.0,99.6,105.8,-6.2,97.4,100.1,-2.7,2.3,5.7,-3.4,0.576,0.584,-0.008,1.48,1.6,-0.12,15.2,17.4,-2.2,0.212,0.209,0.003,0.769,0.786,-0.017,0.488,0.505,-0.017,0.133,0.144,-0.011,0.466,0.527,-0.061,0.514,0.559,-0.045,93.72,98.51,-4.79,0.516,0.533,-0.017
Boston Celtics,"Morris, Marcus",21.0,43,-22.0,17.0,33,-16.0,4.0,10,-6.0,0.81,0.767,0.043,490.0,1579.0,-1089.0,105.3,104.7,0.6,102.0,98.9,3.1,3.3,5.8,-2.5,0.592,0.58,0.012,1.75,1.53,0.22,17.3,17.0,0.3,0.186,0.217,-0.031,0.779,0.784,-0.005,0.489,0.507,-0.018,0.129,0.146,-0.017,0.516,0.518,-0.002,0.553,0.551,0.002,98.56,97.45,1.11,0.516,0.536,-0.02
Boston Celtics,"Nader, Abdel",19.0,43,-24.0,15.0,33,-18.0,4.0,10,-6.0,0.789,0.767,0.022,151.0,1918.0,-1767.0,92.7,105.8,-13.1,118.3,98.2,20.1,-25.6,7.6,-33.2,0.613,0.581,0.032,1.14,1.63,-0.49,16.0,17.1,-1.1,0.217,0.209,0.008,0.82,0.78,0.04,0.508,0.502,0.006,0.183,0.139,0.044,0.473,0.521,-0.048,0.508,0.555,-0.047,98.58,97.65,0.93,0.363,0.545,-0.182
Boston Celtics,"Ojeleye, Semi",38.0,43,-5.0,29.0,33,-4.0,9.0,10,-1.0,0.763,0.767,-0.004,529.0,1540.0,-1011.0,98.1,107.1,-9.0,103.0,98.5,4.5,-4.8,8.6,-13.4,0.558,0.591,-0.033,1.34,1.66,-0.32,15.4,17.6,-2.2,0.231,0.201,0.03,0.773,0.786,-0.013,0.49,0.507,-0.017,0.15,0.139,0.011,0.476,0.532,-0.056,0.509,0.566,-0.057,96.41,98.16,-1.75,0.453,0.555,-0.102
Boston Celtics,"Rozier, Terry",43.0,43,0.0,33.0,33,0.0,10.0,10,0.0,0.767,0.767,0.0,992.0,1077.0,-85.0,101.1,108.3,-7.2,97.5,101.7,-4.2,3.6,6.6,-3.0,0.57,0.594,-0.024,1.45,1.7,-0.25,15.9,18.1,-2.2,0.21,0.209,0.001,0.777,0.789,-0.012,0.496,0.509,-0.013,0.143,0.141,0.002,0.494,0.539,-0.045,0.529,0.573,-0.044,97.51,97.91,-0.4,0.515,0.543,-0.028
Boston Celtics,"Smart, Marcus",41.0,43,-2.0,31.0,33,-2.0,10.0,10,0.0,0.756,0.767,-0.011,1252.0,817.0,435.0,105.9,103.3,2.6,98.6,101.4,-2.8,7.3,1.9,5.4,0.604,0.55,0.054,1.7,1.4,0.3,17.6,16.2,1.4,0.215,0.201,0.014,0.784,0.781,0.003,0.501,0.504,-0.003,0.138,0.149,-0.011,0.517,0.518,-0.001,0.552,0.551,0.001,98.66,96.27,2.39,0.54,0.516,0.024
Boston Celtics,"Tatum, Jayson",43.0,43,0.0,33.0,33,0.0,10.0,10,0.0,0.767,0.767,0.0,1338.0,731.0,607.0,105.9,102.9,3.0,98.7,101.4,-2.7,7.2,1.5,5.7,0.578,0.592,-0.014,1.58,1.58,0.0,17.2,16.8,0.4,0.198,0.23,-0.032,0.777,0.795,-0.018,0.499,0.508,-0.009,0.143,0.141,0.002,0.527,0.501,0.026,0.562,0.533,0.029,98.09,97.04,1.05,0.549,0.498,0.051
Boston Celtics,"Theis, Daniel",41.0,43,-2.0,32.0,33,-1.0,9.0,10,-1.0,0.78,0.767,0.013,543.0,1526.0,-983.0,101.8,105.9,-4.1,101.9,98.9,3.0,-0.1,7.1,-7.2,0.586,0.582,0.004,1.41,1.65,-0.24,16.1,17.4,-1.3,0.233,0.201,0.032,0.772,0.787,-0.015,0.501,0.503,-0.002,0.152,0.139,0.013,0.491,0.527,-0.036,0.533,0.558,-0.025,97.23,97.89,-0.66,0.496,0.542,-0.046
Boston Celtics,"Yabusele, Guerschon",17.0,43,-26.0,13.0,33,-20.0,4.0,10,-6.0,0.765,0.767,-0.002,83.0,1986.0,-1903.0,90.4,105.5,-15.1,107.9,99.3,8.6,-17.4,6.1,-23.5,0.627,0.582,0.045,1.19,1.6,-0.41,14.6,17.1,-2.5,0.227,0.209,0.018,0.781,0.783,-0.002,0.478,0.504,-0.026,0.162,0.141,0.021,0.438,0.521,-0.083,0.472,0.555,-0.083,95.7,97.8,-2.1,0.366,0.537,-0.171
Cleveland Cavaliers,"Calderon, Jose",30.0,40,-10.0,18.0,26,-8.0,12.0,14,-2.0,0.6,0.65,-0.05,532.0,1393.0,-861.0,110.1,111.1,-1.0,110.6,108.4,2.2,-0.6,2.7,-3.3,0.663,0.569,0.094,1.77,1.58,0.19,19.7,17.2,2.5,0.169,0.216,-0.047,0.758,0.767,-0.009,0.464,0.501,-0.037,0.149,0.144,0.005,0.561,0.546,0.015,0.595,0.588,0.007,95.65,100.4,-4.75,0.491,0.516,-0.025
Cleveland Cavaliers,"Crowder, Jae",40.0,40,0.0,26.0,26,0.0,14.0,14,0.0,0.65,0.65,0.0,1032.0,893.0,139.0,110.0,111.7,-1.7,111.5,106.1,5.4,-1.5,5.5,-7.0,0.604,0.584,0.02,1.65,1.61,0.04,18.1,17.7,0.4,0.195,0.212,-0.017,0.767,0.762,0.005,0.48,0.502,-0.022,0.145,0.145,0.0,0.546,0.555,-0.009,0.586,0.593,-0.007,98.66,99.58,-0.92,0.486,0.537,-0.051
Cleveland Cavaliers,"Frye, Channing",34.0,40,-6.0,23.0,26,-3.0,11.0,14,-3.0,0.676,0.65,0.026,401.0,1524.0,-1123.0,116.2,109.4,6.8,104.4,110.2,-5.8,11.8,-0.8,12.6,0.63,0.584,0.046,2.03,1.53,0.5,20.3,17.2,3.1,0.18,0.208,-0.028,0.751,0.768,-0.017,0.49,0.491,-0.001,0.134,0.148,-0.014,0.589,0.539,0.05,0.621,0.581,0.04,99.06,99.09,-0.03,0.565,0.494,0.071
Cleveland Cavaliers,"Green, Jeff",40.0,40,0.0,26.0,26,0.0,14.0,14,0.0,0.65,0.65,0.0,904.0,1021.0,-117.0,110.5,111.1,-0.6,105.4,112.3,-6.9,5.1,-1.2,6.3,0.587,0.601,-0.014,1.74,1.54,0.2,17.9,17.9,0.0,0.182,0.22,-0.038,0.764,0.765,-0.001,0.489,0.493,-0.004,0.135,0.154,-0.019,0.547,0.552,-0.005,0.588,0.591,-0.003,99.58,98.65,0.93,0.534,0.488,0.046
Cleveland Cavaliers,"Holland, John",4.0,40,-36.0,4.0,26,-22.0,0.0,14,-14.0,1.0,0.65,0.35,17.0,1908.0,-1891.0,69.0,111.1,-42.1,103.8,109.1,-5.3,-34.8,2.1,-36.9,0.556,0.594,-0.038,0.63,1.64,-1.01,12.5,17.9,-5.4,0.176,0.203,-0.027,0.824,0.764,0.06,0.5,0.491,0.009,0.251,0.144,0.107,0.385,0.551,-0.166,0.409,0.591,-0.182,91.42,99.15,-7.73,0.233,0.511,-0.278
Cleveland Cavaliers,"James, LeBron",40.0,40,0.0,26.0,26,0.0,14.0,14,0.0,0.65,0.65,0.0,1478.0,447.0,1031.0,113.0,103.8,9.2,111.0,102.4,8.6,1.9,1.4,0.5,0.599,0.578,0.021,1.66,1.53,0.13,18.2,16.7,1.5,0.209,0.185,0.024,0.761,0.775,-0.014,0.491,0.49,0.001,0.146,0.141,0.005,0.562,0.51,0.052,0.601,0.553,0.048,98.61,100.66,-2.05,0.504,0.526,-0.022
Cleveland Cavaliers,"Korver, Kyle",40.0,40,0.0,26.0,26,0.0,14.0,14,0.0,0.65,0.65,0.0,899.0,1026.0,-127.0,113.8,108.1,5.7,104.5,113.0,-8.5,9.3,-4.9,14.2,0.593,0.595,-0.002,1.77,1.52,0.25,18.3,17.5,0.8,0.198,0.207,-0.009,0.772,0.758,0.014,0.504,0.479,0.025,0.137,0.153,-0.016,0.566,0.535,0.031,0.605,0.576,0.029,99.7,98.55,1.15,0.561,0.467,0.094
Cleveland Cavaliers,"Love, Kevin",39.0,40,-1.0,25.0,26,-1.0,14.0,14,0.0,0.641,0.65,-0.009,1132.0,793.0,339.0,110.9,110.7,0.2,112.7,103.9,8.8,-1.8,6.7,-8.5,0.602,0.583,0.019,1.58,1.71,-0.13,17.8,18.0,-0.2,0.217,0.182,0.035,0.768,0.76,0.008,0.494,0.487,0.007,0.15,0.138,0.012,0.547,0.553,-0.006,0.589,0.59,-0.001,98.26,100.27,-2.01,0.49,0.537,-0.047
Cleveland Cavaliers,"Osman, Cedi",32.0,40,-8.0,20.0,26,-6.0,12.0,14,-2.0,0.625,0.65,-0.025,259.0,1666.0,-1407.0,108.4,111.2,-2.8,104.0,109.8,-5.8,4.5,1.4,3.1,0.662,0.584,0.078,1.96,1.58,0.38,19.5,17.6,1.9,0.188,0.205,-0.017,0.755,0.766,-0.011,0.494,0.49,0.004,0.134,0.147,-0.013,0.537,0.552,-0.015,0.574,0.592,-0.018,98.01,99.25,-1.24,0.534,0.505,0.029
Cleveland Cavaliers,"Perrantes, London",1.0,40,-39.0,1.0,26,-25.0,0.0,14,-14.0,1.0,0.65,0.35,3.0,1922.0,-1919.0,50.0,110.9,-60.9,189.1,108.9,80.2,-139.1,2.0,-141.1,0.0,0.595,-0.595,0.0,1.63,-1.63,0.0,17.9,-17.9,0.25,0.203,0.047,1.0,0.764,0.236,0.4,0.491,-0.091,0.0,0.145,-0.145,0.2,0.55,-0.35,0.2,0.59,-0.39,81.91,99.11,-17.2,-0.238,0.51,-0.748
Cleveland Cavaliers,"Rose, Derrick",7.0,40,-33.0,4.0,26,-22.0,3.0,14,-11.0,0.571,0.65,-0.079,188.0,1737.0,-1549.0,106.2,111.3,-5.1,118.8,107.9,10.9,-12.6,3.4,-16.0,0.503,0.604,-0.101,1.16,1.69,-0.53,15.1,18.2,-3.1,0.214,0.201,0.013,0.743,0.766,-0.023,0.466,0.493,-0.027,0.167,0.143,0.024,0.521,0.553,-0.032,0.576,0.591,-0.015,104.15,98.54,5.61,0.421,0.519,-0.098
Cleveland Cavaliers,"Shumpert, Iman",13.0,40,-27.0,9.0,26,-17.0,4.0,14,-10.0,0.692,0.65,0.042,271.0,1654.0,-1383.0,108.3,111.2,-2.9,102.9,110.0,-7.1,5.3,1.2,4.1,0.527,0.605,-0.078,1.26,1.7,-0.44,15.8,18.2,-2.4,0.221,0.2,0.021,0.739,0.769,-0.03,0.497,0.49,0.007,0.162,0.142,0.02,0.538,0.552,-0.014,0.584,0.591,-0.007,100.84,98.8,2.04,0.536,0.505,0.031
Cleveland Cavaliers,"Smith, JR",39.0,40,-1.0,25.0,26,-1.0,14.0,14,0.0,0.641,0.65,-0.009,1164.0,761.0,403.0,111.2,110.3,0.9,112.0,104.5,7.5,-0.8,5.8,-6.6,0.589,0.602,-0.013,1.55,1.76,-0.21,17.6,18.3,-0.7,0.212,0.188,0.024,0.754,0.779,-0.025,0.485,0.5,-0.015,0.15,0.137,0.013,0.552,0.546,0.006,0.591,0.587,0.004,98.66,99.74,-1.08,0.49,0.539,-0.049
Cleveland Cavaliers,"Thomas, Isaiah",3.0,40,-37.0,2.0,26,-24.0,1.0,14,-13.0,0.667,0.65,0.017,59.0,1866.0,-1807.0,105.1,111.0,-5.9,108.7,109.0,-0.3,-3.5,2.0,-5.5,0.588,0.594,-0.006,1.67,1.63,0.04,17.2,17.9,-0.7,0.25,0.201,0.049,0.727,0.766,-0.039,0.471,0.491,-0.02,0.14,0.145,-0.005,0.514,0.551,-0.037,0.534,0.592,-0.058,104.02,98.93,5.09,0.486,0.509,-0.023
Cleveland Cavaliers,"Thompson, Tristan",20.0,40,-20.0,9.0,26,-17.0,11.0,14,-3.0,0.45,0.65,-0.2,376.0,1549.0,-1173.0,103.7,112.6,-8.9,107.5,109.4,-1.9,-3.9,3.2,-7.1,0.514,0.613,-0.099,1.25,1.73,-0.48,15.0,18.6,-3.6,0.223,0.197,0.026,0.827,0.749,0.078,0.524,0.482,0.042,0.155,0.143,0.012,0.513,0.559,-0.046,0.549,0.6,-0.051,101.15,98.59,2.56,0.482,0.515,-0.033
Cleveland Cavaliers,"Wade, Dwyane",37.0,40,-3.0,24.0,26,-2.0,13.0,14,-1.0,0.649,0.65,-0.001,873.0,1052.0,-179.0,110.6,111.0,-0.4,105.6,111.9,-6.3,5.0,-1.0,6.0,0.582,0.604,-0.022,1.66,1.6,0.06,17.3,18.4,-1.1,0.212,0.195,0.017,0.771,0.759,0.012,0.503,0.48,0.023,0.137,0.152,-0.015,0.536,0.561,-0.025,0.581,0.597,-0.016,100.62,97.81,2.81,0.535,0.489,0.046
